AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
4.13,3.45,5.32,0.97,-1.41,0.64,1721027680843
4.81,3.48,3.30,0.86,-1.40,0.61,1721027680846
6.46,1.98,0.50,0.25,-1.04,0.48,1721027680857
7.07,1.44,0.48,0.10,-0.82,0.42,1721027680860
7.50,1.08,0.77,-0.03,-0.57,0.36,1721027680863
7.78,0.51,1.76,-0.18,-0.28,0.29,1721027680866
7.85,-0.15,3.14,-0.39,0.04,0.17,1721027680869
7.80,-1.07,4.72,-0.62,0.39,0.04,1721027680871
7.33,-2.62,7.21,-0.84,0.75,-0.09,1721027680874
7.03,-5.36,11.15,-1.10,1.16,-0.17,1721027680877
7.02,-6.52,14.14,-1.29,1.45,-0.17,1721027680880
0.72,-0.61,24.80,-0.63,2.47,-0.49,1721027680891
-1.51,-2.55,26.61,-0.23,2.09,-0.66,1721027680894
-2.87,-1.33,21.25,0.03,1.35,-0.74,1721027680897
-3.68,-1.59,16.44,0.47,0.50,-0.78,1721027680900
-4.16,-1.86,12.42,1.01,-0.33,-0.85,1721027680903
-4.16,-0.44,8.14,1.43,-1.04,-0.96,1721027680905
-3.52,0.55,4.92,1.65,-1.55,-1.06,1721027680908
-2.90,0.73,3.90,1.64,-1.86,-1.12,1721027680911
-2.15,0.94,4.84,1.48,-1.95,-1.15,1721027680914
-1.67,-1.96,2.69,0.45,-1.17,-0.83,1721027680925
2.28,-0.42,2.72,0.30,-0.66,-0.70,1721027680928
-0.49,-1.52,2.83,0.20,-0.10,-0.53,1721027680931
-1.59,-0.32,2.04,0.20,0.46,-0.32,1721027680934
-3.29,-0.16,4.54,0.13,1.00,-0.12,1721027680937
-2.46,0.74,6.18,-0.17,1.48,0.07,1721027680939
-3.10,-0.37,5.78,-0.57,1.80,0.15,1721027680942
-1.98,-1.46,5.03,-0.81,1.91,0.23,1721027680945
-2.97,-5.78,8.00,-1.30,1.91,0.31,1721027680948
-6.28,0.54,14.59,-2.10,0.55,0.51,1721027680959
-6.33,3.63,24.58,-1.08,-0.04,0.42,1721027680962
-5.25,2.94,34.52,-0.77,-0.76,0.31,1721027680965
-3.07,0.93,32.98,-0.50,-1.37,0.38,1721027680968
-0.92,-4.30,33.61,0.25,-1.65,0.49,1721027680971
0.27,-5.57,29.79,1.05,-1.58,0.55,1721027680973
0.56,0.92,18.69,1.82,-1.29,0.48,1721027680976
0.52,3.73,11.61,2.26,-1.12,0.37,1721027680979
1.07,3.31,5.97,2.61,-0.92,0.23,1721027680982
1.73,-1.30,0.86,1.48,-0.36,0.21,1721027680993
1.84,-4.14,1.67,1.17,-0.15,0.16,1721027680996
1.66,-4.70,-0.82,0.90,0.06,0.09,1721027680999
1.32,-3.82,-5.03,0.70,0.23,-0.03,1721027681002
1.08,-4.11,-6.92,0.53,0.35,-0.14,1721027681005
0.79,-5.68,-4.84,0.29,0.43,-0.19,1721027681007
0.38,-6.33,-1.94,0.06,0.48,-0.22,1721027681010
-0.21,-5.96,3.28,-0.37,0.59,-0.26,1721027681013
-0.92,-4.15,5.64,-0.91,0.71,-0.30,1721027681016
-4.37,-0.46,10.29,-2.32,0.64,-0.28,1721027681027
-5.98,-9.89,14.49,-2.23,0.55,0.00,1721027681030
-6.33,-11.00,15.19,-2.09,0.30,0.05,1721027681033
-6.25,1.13,11.36,-1.56,-0.02,0.00,1721027681036
-5.15,4.94,14.54,-0.63,-0.30,-0.04,1721027681039
-5.34,-2.31,30.89,-0.05,-0.61,-0.02,1721027681041
-5.66,-2.12,24.14,-0.09,-0.78,0.06,1721027681044
0.91,7.23,10.94,-0.06,-0.80,0.11,1721027681047
1.71,-0.89,10.50,0.64,-0.57,0.14,1721027681050
-2.00,3.85,1.47,1.16,-0.27,0.29,1721027681061
-1.24,2.15,-0.53,1.17,-0.30,0.21,1721027681064
-0.36,-1.02,2.51,0.99,-0.37,0.27,1721027681067
0.11,-1.90,2.74,0.58,-0.43,0.44,1721027681070
-0.27,-0.83,0.48,0.22,-0.48,0.56,1721027681073
-0.37,-0.19,0.33,0.03,-0.50,0.58,1721027681075
-0.27,-0.92,1.14,-0.19,-0.50,0.50,1721027681078
0.13,-3.90,3.09,-0.35,-0.47,0.34,1721027681081
0.62,-6.08,4.58,-0.48,-0.41,0.21,1721027681084
0.42,-4.94,6.09,-0.67,-0.16,0.14,1721027681095
0.75,-5.75,11.49,-0.93,0.03,0.19,1721027681098
1.13,-6.78,14.82,-1.35,0.24,0.26,1721027681101
0.89,-7.51,17.30,-1.69,0.44,0.34,1721027681104
0.15,-9.25,21.70,-1.80,0.65,0.42,1721027681107
0.98,-10.70,27.61,-1.80,0.79,0.48,1721027681109
2.22,-9.39,32.57,-1.51,0.83,0.48,1721027681112
1.44,-4.33,33.18,-0.90,0.78,0.37,1721027681115
-0.42,1.38,34.47,-0.17,0.56,0.12,1721027681118
-1.64,4.23,11.47,2.10,-1.02,-0.47,1721027681129
-2.19,4.19,5.31,2.38,-1.25,-0.56,1721027681132
-1.79,5.09,0.87,2.45,-1.39,-0.64,1721027681135
-1.35,4.65,-0.39,2.34,-1.46,-0.69,1721027681138
-0.99,4.33,0.56,2.10,-1.46,-0.63,1721027681141
-1.07,1.50,0.57,1.58,-1.35,-0.51,1721027681143
-1.10,-1.70,0.16,1.06,-1.12,-0.36,1721027681146
