AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.10,3.20,10.32,0.04,-0.26,0.12,1720971584335
1.24,3.40,10.35,0.10,-0.14,0.12,1720971584345
1.28,3.34,10.32,0.07,-0.08,0.12,1720971584348
1.29,3.04,9.99,0.04,-0.03,0.12,1720971584351
1.02,3.00,8.70,0.12,-0.01,0.06,1720971584361
0.97,3.37,8.49,0.15,-0.03,0.03,1720971584364
0.92,3.78,8.37,0.14,-0.06,-0.00,1720971584367
0.67,3.79,8.23,0.00,-0.14,-0.02,1720971584377
0.74,3.64,8.90,-0.05,-0.15,-0.02,1720971584380
0.88,3.43,9.80,-0.09,-0.13,-0.01,1720971584383
1.22,2.99,12.12,-0.03,0.03,0.07,1720971584393
1.26,2.92,12.17,0.05,0.08,0.07,1720971584396
1.31,2.87,11.73,0.13,0.10,0.05,1720971584399
1.00,4.17,8.74,0.24,-0.06,-0.06,1720971584409
0.86,4.14,8.04,0.20,-0.14,-0.12,1720971584412
0.75,3.81,7.57,0.14,-0.21,-0.18,1720971584415
0.35,3.83,8.91,-0.03,-0.30,-0.27,1720971584425
0.43,3.72,10.26,-0.06,-0.22,-0.27,1720971584428
0.43,3.58,10.98,-0.08,-0.14,-0.25,1720971584431
-0.35,2.62,11.18,0.14,0.32,-0.10,1720971584441
-0.75,2.61,10.46,0.22,0.39,-0.09,1720971584444
-0.98,2.75,10.03,0.26,0.41,-0.09,1720971584447
-1.79,4.31,8.05,0.09,0.09,-0.09,1720971584457
-1.98,3.90,8.13,0.02,-0.07,-0.11,1720971584460
-1.88,3.35,8.45,-0.02,-0.17,-0.11,1720971584463
-1.23,2.68,10.19,0.08,-0.53,-0.00,1720971584473
-0.82,3.43,10.80,0.13,-0.51,0.02,1720971584476
-0.55,3.78,10.95,0.15,-0.48,0.04,1720971584479
0.16,3.39,8.21,0.16,-0.24,0.17,1720971584489
0.23,3.50,7.74,0.17,-0.22,0.17,1720971584492
0.45,3.82,7.62,0.16,-0.19,0.15,1720971584495
1.37,4.33,10.18,-0.13,-0.03,0.16,1720971584505
1.47,3.84,10.78,-0.14,0.00,0.17,1720971584508
1.55,2.82,11.22,-0.12,0.05,0.16,1720971584511
1.31,2.90,10.52,0.24,0.12,0.05,1720971584521
1.20,3.40,10.07,0.26,0.11,0.03,1720971584524
0.92,4.17,8.95,0.25,0.08,-0.01,1720971584527
0.22,3.18,6.53,0.03,-0.17,-0.08,1720971584537
0.13,3.16,6.73,-0.02,-0.20,-0.06,1720971584540
0.10,3.20,7.55,-0.08,-0.24,-0.04,1720971584543
0.36,1.27,10.69,-0.19,-0.09,0.07,1720971584553
0.30,0.94,10.98,-0.14,-0.02,0.12,1720971584556
0.32,1.02,10.97,-0.04,0.06,0.15,1720971584559
0.62,2.09,10.36,0.11,0.16,0.19,1720971584569
0.50,2.36,9.56,0.06,0.13,0.20,1720971584572
0.39,2.33,8.90,0.03,0.07,0.19,1720971584575
0.37,2.34,8.42,0.00,-0.20,0.09,1720971584585
0.52,2.64,9.22,-0.02,-0.23,0.07,1720971584588
0.70,3.32,9.77,-0.04,-0.24,0.07,1720971584591
0.84,3.46,10.53,-0.02,-0.07,0.11,1720971584601
0.74,3.24,9.91,0.01,-0.01,0.14,1720971584604
0.62,3.12,9.43,0.05,0.04,0.16,1720971584607
0.75,3.51,8.95,-0.01,0.06,0.14,1720971584617
0.84,3.42,9.16,-0.08,0.03,0.13,1720971584620
0.93,2.95,9.61,-0.15,-0.00,0.13,1720971584623
1.18,1.73,10.76,-0.08,-0.14,0.13,1720971584633
1.24,1.61,10.70,-0.00,-0.17,0.12,1720971584636
1.34,2.04,10.46,0.06,-0.19,0.10,1720971584639
1.33,3.22,9.15,0.07,-0.21,0.01,1720971584649
1.34,3.14,8.81,0.02,-0.20,0.01,1720971584652
1.24,3.07,8.68,-0.02,-0.19,0.01,1720971584655
1.15,2.38,8.87,0.00,-0.06,0.02,1720971584665
1.07,2.44,8.86,0.02,-0.01,0.03,1720971584668
0.96,2.47,8.90,0.04,0.05,0.03,1720971584671
0.56,2.94,8.83,-0.01,0.17,0.05,1720971584681
0.40,2.91,9.13,-0.04,0.19,0.06,1720971584684
0.40,2.72,9.51,-0.08,0.19,0.07,1720971584687
0.48,2.59,11.00,-0.10,0.10,0.19,1720971584697
0.64,2.27,11.46,-0.09,0.05,0.21,1720971584700
0.74,2.09,11.28,-0.07,0.00,0.22,1720971584703
1.28,1.71,10.11,0.03,-0.22,0.20,1720971584713
1.41,2.19,10.01,0.03,-0.28,0.18,1720971584716
1.72,2.49,10.06,0.01,-0.31,0.16,1720971584719
2.26,1.28,9.56,-0.05,-0.29,0.18,1720971584729
2.27,1.24,9.47,-0.02,-0.25,0.17,1720971584732
2.39,1.58,9.65,0.02,-0.20,0.14,1720971584735
2.58,2.78,9.96,0.03,0.07,0.05,1720971584745
2.40,2.76,9.74,-0.00,0.14,0.05,1720971584748
2.23,2.73,9.90,-0.03,0.19,0.04,1720971584751
1.89,3.01,11.00,-0.04,0.29,0.00,1720971584761
1.72,3.12,11.27,-0.04,0.29,0.00,1720971584764
1.45,3.28,11.55,-0.04,0.28,-0.01,1720971584767
1.29,3.45,11.78,-0.03,0.26,-0.03,1720971584770
0.75,3.12,11.61,-0.03,0.09,-0.07,1720971584780
0.50,3.02,11.22,0.00,0.02,-0.07,1720971584783
0.33,2.53,10.64,0.04,-0.07,-0.08,1720971584786
0.34,1.43,8.39,0.05,-0.41,0.02,1720971584796
0.45,1.40,8.44,0.03,-0.46,0.02,1720971584799
0.78,1.55,8.83,-0.02,-0.47,0.01,1720971584802
2.01,0.61,9.95,-0.08,-0.32,0.09,1720971584812
2.26,0.62,10.30,-0.04,-0.23,0.12,1720971584815
2.56,0.97,10.73,0.00,-0.13,0.12,1720971584818
3.38,2.68,11.51,0.04,0.21,0.11,1720971584828
3.19,2.72,11.19,0.06,0.27,0.07,1720971584831
2.98,2.29,10.79,0.09,0.31,-0.01,1720971584834
2.32,2.42,9.42,0.14,0.19,-0.29,1720971584844
1.96,3.07,9.76,0.13,0.12,-0.34,1720971584847
1.69,3.32,10.16,0.09,0.07,-0.39,1720971584850
0.85,1.95,9.68,0.05,-0.05,-0.33,1720971584860
0.61,2.17,9.74,0.10,-0.07,-0.30,1720971584863
0.44,2.87,10.02,0.14,-0.05,-0.29,1720971584866
0.46,3.54,9.12,0.09,0.07,-0.22,1720971584876
0.44,3.40,8.83,0.05,0.07,-0.16,1720971584879
0.40,3.39,8.81,0.02,0.07,-0.11,1720971584882
0.98,2.58,9.56,-0.06,0.03,-0.09,1720971584892
1.15,2.35,9.76,-0.07,-0.01,-0.06,1720971584895
1.21,2.38,10.07,-0.06,-0.05,-0.05,1720971584898
1.77,1.15,10.40,-0.03,-0.09,-0.14,1720971584908
1.90,1.21,10.14,-0.01,-0.11,-0.14,1720971584911
2.04,1.55,10.03,0.03,-0.13,-0.13,1720971584914
2.09,1.91,9.13,0.03,-0.09,-0.23,1720971584924
2.05,2.19,8.82,0.03,-0.07,-0.25,1720971584927
2.01,2.70,9.08,0.02,-0.03,-0.25,1720971584930
1.91,4.37,10.69,-0.07,0.21,-0.23,1720971584940
1.77,4.69,10.71,-0.05,0.29,-0.23,1720971584943
1.55,5.41,10.48,0.01,0.34,-0.25,1720971584946
0.70,7.40,9.10,0.04,0.39,-0.35,1720971584956
0.35,7.19,8.29,-0.04,0.35,-0.36,1720971584959
-0.16,6.54,7.61,-0.14,0.28,-0.36,1720971584962
-0.72,2.72,8.58,-0.46,0.01,-0.29,1720971584972
-0.66,0.94,9.34,-0.54,-0.05,-0.24,1720971584975
-0.63,-0.49,10.24,-0.58,-0.09,-0.17,1720971584978
0.17,-3.58,12.37,-0.42,-0.05,0.00,1720971584988
0.55,-3.85,12.71,-0.35,-0.02,0.06,1720971584991
