AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.58,-1.19,11.04,-0.00,0.09,0.01,1721026732261
1.51,-1.03,11.02,-0.00,0.09,0.00,1721026732264
1.31,-0.82,10.70,0.04,0.08,-0.02,1721026732267
1.02,-0.72,10.33,0.10,0.05,-0.06,1721026732270
0.88,-0.54,10.24,0.16,0.03,-0.10,1721026732272
0.07,0.51,9.84,0.07,-0.01,-0.16,1721026732283
-0.15,-0.20,9.80,0.03,-0.00,-0.14,1721026732286
-0.27,-0.59,9.80,0.02,0.00,-0.12,1721026732289
-0.46,-0.80,9.76,0.03,0.00,-0.08,1721026732292
-0.62,-0.88,9.83,0.06,0.01,-0.04,1721026732295
-0.71,-1.12,10.30,0.09,0.03,-0.01,1721026732297
-0.77,-0.45,10.32,0.06,0.03,0.09,1721026732307
-0.75,-0.56,10.62,0.04,0.01,0.11,1721026732310
-0.68,-0.49,10.75,0.02,-0.01,0.12,1721026732313
-0.58,-0.48,10.76,0.00,-0.04,0.12,1721026732316
-0.46,-0.62,11.03,0.00,-0.08,0.13,1721026732319
-0.27,-0.73,11.29,0.00,-0.12,0.14,1721026732321
0.38,-0.84,11.70,0.03,-0.17,0.12,1721026732332
0.49,-1.05,11.44,0.03,-0.16,0.11,1721026732335
0.54,-1.25,11.07,0.04,-0.14,0.11,1721026732338
0.63,-1.28,10.55,0.08,-0.13,0.10,1721026732341
0.65,-1.05,9.51,0.14,-0.12,0.09,1721026732344
0.67,-1.05,8.63,0.20,-0.13,0.08,1721026732346
0.78,-0.85,7.73,0.04,-0.14,0.01,1721026732357
0.79,-0.88,8.04,-0.02,-0.13,0.01,1721026732360
0.84,-0.86,8.72,-0.08,-0.10,0.00,1721026732363
0.81,-0.75,9.56,-0.11,-0.04,-0.00,1721026732366
0.78,-1.03,10.43,-0.10,0.03,-0.02,1721026732369
0.79,-1.67,11.29,-0.08,0.11,-0.02,1721026732371
0.41,-1.14,11.54,0.08,0.23,0.03,1721026732382
0.25,-0.90,11.75,0.10,0.20,0.02,1721026732385
0.23,-0.89,11.34,0.09,0.13,-0.01,1721026732388
0.14,-1.00,10.53,0.08,0.03,-0.03,1721026732391
0.11,-1.16,9.99,0.09,-0.10,-0.04,1721026732394
0.11,-1.08,9.55,0.10,-0.21,-0.06,1721026732396
0.46,0.02,9.58,0.14,-0.36,-0.15,1721026732406
0.49,0.39,9.31,0.09,-0.33,-0.14,1721026732409
0.53,0.23,8.84,0.06,-0.28,-0.12,1721026732412
0.54,-0.21,8.80,0.05,-0.20,-0.11,1721026732415
0.54,-0.43,8.24,0.05,-0.12,-0.11,1721026732418
0.46,-0.41,7.75,0.08,-0.04,-0.11,1721026732420
0.55,-0.88,7.57,0.02,0.15,-0.12,1721026732431
0.51,-0.64,7.93,-0.04,0.17,-0.11,1721026732434
0.46,-0.44,8.72,-0.10,0.18,-0.12,1721026732437
0.35,-0.29,9.41,-0.12,0.19,-0.15,1721026732440
0.28,-0.80,9.84,-0.11,0.19,-0.19,1721026732443
0.18,-1.60,10.61,-0.08,0.18,-0.21,1721026732445
0.18,-0.80,12.33,0.00,0.03,-0.16,1721026732456
0.10,-0.20,12.60,0.00,0.01,-0.18,1721026732459
0.02,-0.28,12.48,0.01,-0.01,-0.22,1721026732462
0.04,-1.05,11.98,0.04,-0.01,-0.27,1721026732465
-0.04,-1.52,11.13,0.09,-0.03,-0.29,1721026732468
-0.16,-1.31,10.08,0.16,-0.04,-0.29,1721026732470
-0.36,0.74,9.72,0.11,-0.01,-0.33,1721026732481
-0.45,1.46,9.45,-0.02,0.04,-0.32,1721026732484
-0.54,0.72,10.28,-0.12,0.09,-0.30,1721026732487
-0.69,-0.46,11.43,-0.20,0.15,-0.27,1721026732490
-0.93,-0.81,12.08,-0.21,0.21,-0.25,1721026732493
-1.07,-0.59,12.60,-0.13,0.26,-0.23,1721026732495
-1.43,1.44,13.80,0.01,0.23,-0.16,1721026732505
-1.60,1.00,13.21,0.06,0.15,-0.16,1721026732508
-1.65,0.02,12.32,0.12,0.05,-0.16,1721026732511
-1.66,-0.22,10.79,0.20,-0.05,-0.16,1721026732514
-1.46,-0.18,9.11,0.27,-0.14,-0.16,1721026732517
-1.24,-0.30,8.23,0.32,-0.23,-0.14,1721026732519
-0.91,-0.18,8.21,0.28,-0.30,-0.10,1721026732522
-0.08,0.68,8.40,-0.08,-0.24,-0.09,1721026732533
0.24,0.57,8.96,-0.13,-0.16,-0.08,1721026732536
0.54,0.66,9.65,-0.10,-0.07,-0.06,1721026732539
0.76,0.74,10.84,-0.05,0.04,-0.03,1721026732542
0.82,1.15,11.67,-0.02,0.16,-0.02,1721026732545
0.89,1.66,11.73,0.01,0.27,-0.02,1721026732547
0.42,1.69,10.88,0.08,0.35,-0.10,1721026732558
0.08,1.34,10.21,0.10,0.27,-0.15,1721026732561
-0.21,0.85,9.42,0.13,0.15,-0.21,1721026732564
-0.44,0.52,8.88,0.14,0.02,-0.24,1721026732567
-0.59,0.34,8.44,0.13,-0.10,-0.27,1721026732570
-0.68,0.10,8.46,0.09,-0.19,-0.28,1721026732572
-0.61,-0.44,10.43,-0.14,-0.14,-0.19,1721026732583
-0.69,-0.76,11.16,-0.15,-0.02,-0.15,1721026732586
-0.75,-1.16,11.63,-0.11,0.11,-0.11,1721026732589
