AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-4.29,-2.17,9.51,-0.05,-0.15,-0.13,1720439126507
-4.13,-2.27,9.93,-0.05,-0.15,-0.11,1720439126510
-3.99,-2.23,10.29,-0.03,-0.15,-0.09,1720439126513
-3.84,-2.12,10.49,0.00,-0.15,-0.08,1720439126516
-3.71,-2.05,10.57,0.02,-0.15,-0.08,1720439126518
-3.52,-2.04,10.50,0.06,-0.15,-0.08,1720439126521
-3.32,-2.16,10.25,0.09,-0.15,-0.08,1720439126524
-3.14,-2.27,9.85,0.11,-0.16,-0.08,1720439126527
-2.97,-2.33,9.42,0.13,-0.15,-0.08,1720439126530
-2.78,-2.28,8.98,0.13,-0.15,-0.09,1720439126533
-2.68,-2.18,8.60,0.12,-0.15,-0.11,1720439126536
-2.58,-2.05,8.34,0.11,-0.15,-0.13,1720439126539
-2.46,-1.98,8.13,0.09,-0.15,-0.15,1720439126542
-2.38,-1.97,8.10,0.07,-0.16,-0.18,1720439126545
-2.31,-2.00,8.17,0.05,-0.17,-0.20,1720439126547
-2.27,-1.98,8.23,0.04,-0.17,-0.21,1720439126550
-2.23,-1.89,8.44,0.03,-0.18,-0.22,1720439126553
-2.21,-1.83,8.67,0.03,-0.18,-0.23,1720439126556
-2.19,-1.83,8.88,0.02,-0.18,-0.26,1720439126559
-2.17,-1.92,9.00,0.03,-0.18,-0.29,1720439126562
-2.14,-2.00,9.10,0.04,-0.17,-0.31,1720439126565
-2.15,-2.15,9.17,0.05,-0.17,-0.33,1720439126568
-2.20,-2.29,9.17,0.06,-0.16,-0.34,1720439126571
-2.25,-2.45,9.09,0.05,-0.16,-0.35,1720439126574
-2.29,-2.55,9.01,0.05,-0.15,-0.36,1720439126577
-2.36,-2.60,9.02,0.05,-0.15,-0.39,1720439126579
-2.43,-2.57,9.05,0.05,-0.14,-0.40,1720439126582
-2.53,-2.50,9.09,0.04,-0.13,-0.42,1720439126585
-2.66,-2.48,9.21,0.03,-0.13,-0.44,1720439126588
-2.78,-2.57,9.31,0.03,-0.12,-0.45,1720439126591
-2.92,-2.64,9.42,0.03,-0.12,-0.46,1720439126594
-3.10,-2.71,9.46,0.04,-0.12,-0.47,1720439126597
-3.29,-2.75,9.43,0.05,-0.13,-0.48,1720439126600
-3.46,-2.79,9.42,0.06,-0.13,-0.50,1720439126603
-3.62,-2.78,9.33,0.08,-0.15,-0.50,1720439126606
-3.80,-2.76,9.19,0.09,-0.16,-0.50,1720439126609
-3.93,-2.75,9.11,0.09,-0.18,-0.50,1720439126611
-4.01,-2.77,8.99,0.10,-0.20,-0.49,1720439126614
-4.10,-2.83,8.88,0.10,-0.21,-0.48,1720439126617
-4.18,-2.87,8.84,0.10,-0.22,-0.46,1720439126620
-4.25,-2.81,8.75,0.09,-0.22,-0.45,1720439126623
-4.31,-2.77,8.74,0.08,-0.21,-0.44,1720439126626
-4.38,-2.82,8.77,0.07,-0.21,-0.42,1720439126629
-4.36,-2.94,8.83,0.05,-0.20,-0.40,1720439126632
-4.34,-3.05,8.92,0.04,-0.19,-0.36,1720439126635
-4.33,-3.03,9.05,0.04,-0.19,-0.32,1720439126638
-4.33,-2.87,9.18,0.04,-0.19,-0.30,1720439126641
-4.24,-2.90,9.33,0.04,-0.19,-0.29,1720439126644
-4.02,-3.01,9.42,0.04,-0.20,-0.27,1720439126646
-3.82,-2.80,9.52,0.06,-0.21,-0.23,1720439126649
-3.73,-2.43,9.61,0.07,-0.21,-0.22,1720439126652
-3.59,-1.95,9.74,0.07,-0.22,-0.20,1720439126655
-3.41,-1.87,9.84,0.06,-0.23,-0.21,1720439126658
-3.15,-2.14,9.96,0.04,-0.24,-0.21,1720439126661
-2.88,-2.53,10.07,0.03,-0.23,-0.21,1720439126664
-2.72,-2.78,10.19,0.04,-0.21,-0.21,1720439126667
-2.63,-2.76,10.20,0.06,-0.19,-0.22,1720439126670
-2.57,-2.60,10.12,0.08,-0.18,-0.25,1720439126673
-2.46,-2.54,9.86,0.11,-0.17,-0.27,1720439126676
-2.33,-2.57,9.58,0.13,-0.19,-0.28,1720439126678
-2.26,-2.54,9.23,0.14,-0.20,-0.29,1720439126681
-2.23,-2.39,8.96,0.15,-0.21,-0.30,1720439126684
-2.24,-2.03,8.62,0.16,-0.23,-0.33,1720439126687
-2.19,-1.63,8.45,0.16,-0.24,-0.38,1720439126690
-2.09,-1.35,8.43,0.13,-0.26,-0.41,1720439126693
-2.04,-1.12,8.42,0.10,-0.26,-0.43,1720439126696
-2.10,-0.91,8.57,0.07,-0.25,-0.45,1720439126699
-2.25,-0.86,8.79,0.05,-0.24,-0.48,1720439126702
-2.31,-1.17,9.04,0.03,-0.21,-0.51,1720439126705
-2.37,-1.77,9.24,0.00,-0.19,-0.53,1720439126708
-2.52,-2.39,9.34,-0.00,-0.18,-0.53,1720439126710
-2.78,-2.81,9.41,0.01,-0.16,-0.54,1720439126713
-2.96,-3.02,9.39,0.03,-0.16,-0.56,1720439126716
-3.10,-3.34,9.35,0.06,-0.16,-0.58,1720439126719
-3.18,-3.62,9.22,0.09,-0.17,-0.59,1720439126722
-3.34,-3.51,9.01,0.13,-0.19,-0.57,1720439126725
-3.59,-3.05,8.89,0.15,-0.22,-0.57,1720439126728
-3.80,-2.67,8.75,0.15,-0.24,-0.59,1720439126731
-3.88,-2.45,8.70,0.14,-0.26,-0.61,1720439126734
-3.93,-2.17,8.79,0.13,-0.26,-0.61,1720439126737
-4.02,-1.66,9.00,0.12,-0.27,-0.58,1720439126740
-4.21,-1.09,9.23,0.09,-0.26,-0.56,1720439126742
-4.40,-0.93,9.46,0.07,-0.26,-0.55,1720439126745
-4.47,-1.51,9.59,0.05,-0.26,-0.54,1720439126748
-4.47,-2.14,9.59,0.05,-0.25,-0.52,1720439126751
-4.50,-2.96,9.51,0.07,-0.24,-0.49,1720439126754
-4.58,-3.28,9.39,0.10,-0.24,-0.44,1720439126757
-4.66,-3.25,9.17,0.14,-0.24,-0.41,1720439126760
-4.66,-3.16,8.86,0.17,-0.26,-0.39,1720439126763
-4.48,-3.23,8.52,0.18,-0.28,-0.35,1720439126766
-4.29,-3.22,8.15,0.19,-0.30,-0.30,1720439126769
-4.17,-2.80,7.89,0.19,-0.32,-0.25,1720439126772
-3.96,-2.11,7.82,0.19,-0.32,-0.22,1720439126774
-3.66,-1.71,7.91,0.15,-0.33,-0.20,1720439126777
-3.30,-1.73,8.03,0.09,-0.32,-0.17,1720439126780
-3.10,-1.84,8.17,0.06,-0.31,-0.15,1720439126783
-2.89,-2.02,8.38,0.03,-0.28,-0.13,1720439126786
-2.65,-2.29,8.60,0.03,-0.25,-0.13,1720439126789
-2.44,-2.70,8.73,0.04,-0.22,-0.13,1720439126792
-2.23,-2.95,8.81,0.06,-0.21,-0.13,1720439126795
-2.08,-3.06,8.81,0.08,-0.21,-0.13,1720439126798
-1.94,-3.37,8.78,0.09,-0.23,-0.13,1720439126801
-1.77,-3.67,8.80,0.11,-0.26,-0.15,1720439126804
-1.68,-3.49,8.81,0.14,-0.29,-0.19,1720439126806
-1.60,-2.60,8.91,0.19,-0.31,-0.23,1720439126809
-1.58,-1.45,9.14,0.22,-0.33,-0.26,1720439126812
-1.54,-0.78,9.25,0.22,-0.34,-0.28,1720439126815
-1.45,-0.40,9.32,0.19,-0.36,-0.30,1720439126818
-1.38,-0.70,9.23,0.17,-0.36,-0.31,1720439126821
-1.45,-1.08,9.03,0.17,-0.34,-0.33,1720439126824
-1.57,-1.15,8.85,0.19,-0.31,-0.37,1720439126827
-1.69,-1.23,8.66,0.19,-0.28,-0.40,1720439126830
-1.76,-1.58,8.32,0.17,-0.27,-0.41,1720439126833
-1.85,-2.04,8.05,0.15,-0.27,-0.40,1720439126836
-2.07,-2.20,7.92,0.14,-0.28,-0.39,1720439126838
-2.29,-2.21,8.04,0.11,-0.29,-0.41,1720439126841
-2.43,-2.05,8.39,0.08,-0.31,-0.43,1720439126844
-2.51,-1.75,8.99,0.04,-0.32,-0.44,1720439126847
-2.60,-1.58,9.43,0.03,-0.33,-0.44,1720439126850
-2.73,-1.58,10.03,0.02,-0.33,-0.44,1720439126853
-2.90,-1.24,10.37,0.03,-0.32,-0.44,1720439126856
-3.07,-0.56,10.70,0.09,-0.31,-0.44,1720439126859
-3.14,-0.03,10.76,0.12,-0.31,-0.43,1720439126862
-3.25,0.04,10.44,0.14,-0.31,-0.40,1720439126865
-3.34,-0.35,9.87,0.15,-0.31,-0.36,1720439126868
-3.43,-1.13,8.98,0.17,-0.30,-0.35,1720439126870
-3.46,-1.93,8.07,0.21,-0.29,-0.35,1720439126873
-3.41,-2.04,7.35,0.23,-0.29,-0.34,1720439126876
-3.39,-1.43,6.90,0.22,-0.30,-0.31,1720439126879
-3.39,-1.10,6.70,0.19,-0.31,-0.29,1720439126882
-3.37,-0.85,6.61,0.12,-0.33,-0.25,1720439126885
-3.31,-0.63,6.88,0.04,-0.34,-0.24,1720439126888
-3.23,-0.08,7.47,-0.01,-0.34,-0.23,1720439126891
-3.12,0.58,8.45,-0.05,-0.33,-0.24,1720439126894
-3.01,1.15,9.56,-0.09,-0.32,-0.23,1720439126897
-2.90,1.30,10.48,-0.12,-0.31,-0.22,1720439126900
-2.72,0.86,10.96,-0.10,-0.30,-0.19,1720439126902
-2.56,0.61,11.02,-0.02,-0.28,-0.17,1720439126905
-2.45,0.91,10.80,0.09,-0.27,-0.15,1720439126908
-2.36,1.29,10.07,0.19,-0.29,-0.15,1720439126911
-2.27,1.34,9.30,0.23,-0.31,-0.15,1720439126914
-2.05,0.95,7.93,0.28,-0.34,-0.16,1720439126917
-1.81,0.35,6.77,0.29,-0.37,-0.16,1720439126920
-1.64,0.29,6.01,0.25,-0.38,-0.17,1720439126923
-1.52,1.15,6.01,0.14,-0.39,-0.19,1720439126926
-1.43,1.90,6.71,-0.04,-0.40,-0.21,1720439126929
-1.33,1.69,8.04,-0.24,-0.38,-0.25,1720439126931
-1.29,0.99,9.94,-0.40,-0.34,-0.29,1720439126934
-1.39,0.14,11.96,-0.48,-0.28,-0.35,1720439126937
-1.63,-0.38,13.65,-0.46,-0.22,-0.40,1720439126940
-1.92,-0.59,14.93,-0.36,-0.17,-0.44,1720439126943
-2.07,-0.86,15.29,-0.27,-0.16,-0.46,1720439126946
-2.39,-0.99,15.68,-0.12,-0.18,-0.46,1720439126949
-2.77,-0.22,15.13,0.07,-0.24,-0.47,1720439126952
-3.16,1.39,14.13,0.32,-0.31,-0.50,1720439126955
-3.45,3.27,12.32,0.55,-0.41,-0.54,1720439126958
-3.70,4.39,9.97,0.71,-0.50,-0.58,1720439126961
-3.75,4.42,7.31,0.75,-0.58,-0.59,1720439126963
-3.74,3.30,5.19,0.70,-0.62,-0.57,1720439126966
-3.78,1.88,3.75,0.62,-0.61,-0.55,1720439126969
-3.84,0.60,3.19,0.51,-0.55,-0.55,1720439126972
-3.86,-0.51,3.10,0.35,-0.46,-0.54,1720439126975
-3.91,-1.12,3.07,0.24,-0.40,-0.52,1720439126978
-3.97,-1.71,3.27,0.06,-0.31,-0.43,1720439126981
-4.12,-1.87,4.00,-0.15,-0.25,-0.28,1720439126984
-4.35,-1.97,5.44,-0.40,-0.25,-0.13,1720439126987
-4.49,-2.40,7.00,-0.63,-0.28,-0.01,1720439126990
-4.59,-2.90,8.94,-0.77,-0.32,0.04,1720439126993
-4.49,-3.41,11.17,-0.82,-0.36,0.05,1720439126995
-4.13,-3.60,13.57,-0.81,-0.39,0.08,1720439126998
-3.56,-2.84,15.38,-0.70,-0.38,0.15,1720439127001
-2.81,-2.21,17.23,-0.50,-0.31,0.27,1720439127004
-2.42,-0.66,18.01,-0.34,-0.24,0.38,1720439127007
-2.43,0.36,18.15,-0.23,-0.20,0.43,1720439127010
-2.17,0.79,17.74,-0.08,-0.20,0.46,1720439127013
-1.56,-0.02,16.76,0.14,-0.23,0.49,1720439127016
-1.13,-0.78,15.03,0.41,-0.29,0.54,1720439127019
-0.47,-1.36,11.68,0.73,-0.35,0.60,1720439127022
0.27,-0.89,8.66,1.01,-0.40,0.66,1720439127025
0.76,0.91,6.12,1.09,-0.44,0.70,1720439127027
1.37,2.54,4.01,0.96,-0.44,0.69,1720439127030
2.20,1.50,3.48,0.73,-0.36,0.65,1720439127033
3.02,-0.68,3.46,0.47,-0.21,0.61,1720439127036
3.48,-2.15,2.68,0.26,-0.03,0.57,1720439127039
3.81,-3.30,2.55,0.10,0.14,0.53,1720439127042
3.96,-3.52,2.87,-0.01,0.22,0.51,1720439127045
4.04,-2.80,3.73,-0.22,0.27,0.47,1720439127048
4.11,-1.69,5.14,-0.46,0.23,0.42,1720439127051
4.21,-1.12,6.73,-0.70,0.12,0.34,1720439127054
4.28,-1.47,8.65,-0.88,-0.05,0.25,1720439127057
3.84,-1.97,10.22,-0.97,-0.27,0.14,1720439127059
3.38,-1.35,11.56,-0.92,-0.53,0.00,1720439127062
3.34,-0.41,13.55,-0.70,-0.77,-0.13,1720439127065
3.30,0.36,15.69,-0.47,-0.94,-0.24,1720439127068
3.43,1.50,17.45,-0.30,-1.00,-0.34,1720439127071
3.56,2.27,18.62,-0.15,-0.91,-0.43,1720439127074
3.53,2.14,18.98,-0.06,-0.77,-0.49,1720439127077
3.35,1.02,18.60,0.11,-0.49,-0.57,1720439127080
3.01,-0.08,16.88,0.33,-0.18,-0.62,1720439127083
2.44,-1.09,13.15,0.61,0.08,-0.65,1720439127086
1.53,-1.92,8.69,0.91,0.22,-0.67,1720439127088
0.58,-1.47,5.59,1.07,0.21,-0.72,1720439127091
0.04,0.48,3.09,0.99,0.10,-0.79,1720439127094
-0.25,1.40,1.99,0.74,-0.05,-0.83,1720439127097
-0.57,0.57,1.82,0.40,-0.21,-0.85,1720439127100
-0.81,-1.01,2.41,0.08,-0.31,-0.88,1720439127103
-1.04,-1.86,3.77,-0.21,-0.36,-0.92,1720439127106
-1.26,-1.60,4.83,-0.38,-0.37,-0.94,1720439127109
-1.81,0.40,6.70,-0.63,-0.38,-0.97,1720439127112
-2.34,2.84,8.61,-0.82,-0.39,-0.99,1720439127115
-2.72,2.99,11.77,-0.99,-0.39,-0.98,1720439127118
-2.00,1.34,14.61,-1.03,-0.28,-0.96,1720439127120
-1.78,-1.18,16.95,-0.90,-0.02,-0.93,1720439127123
-2.49,-2.14,17.98,-0.66,0.28,-0.94,1720439127126
-3.29,-2.50,18.23,-0.38,0.51,-0.96,1720439127129
-3.70,-2.49,17.92,-0.17,0.61,-0.93,1720439127132
-4.05,-2.07,16.95,0.02,0.57,-0.82,1720439127135
-4.53,-1.75,15.85,0.24,0.43,-0.69,1720439127138
-4.86,-1.55,14.42,0.47,0.23,-0.60,1720439127141
-4.93,-1.62,12.58,0.64,0.08,-0.58,1720439127144
-5.27,-1.81,9.17,0.92,-0.14,-0.58,1720439127147
-5.40,-0.27,6.39,1.11,-0.33,-0.61,1720439127150
-5.23,2.25,4.67,1.11,-0.49,-0.58,1720439127153
-5.04,3.80,3.46,0.88,-0.58,-0.48,1720439127155
-4.64,2.74,3.17,0.59,-0.57,-0.33,1720439127158
-4.34,0.88,3.18,0.36,-0.44,-0.18,1720439127161
-4.30,0.00,3.10,0.22,-0.24,-0.07,1720439127164
-4.27,0.29,3.47,0.07,-0.04,0.02,1720439127167
-4.18,0.93,4.00,-0.14,0.08,0.12,1720439127170
-4.14,0.65,4.63,-0.34,0.13,0.23,1720439127173
-4.11,0.03,5.05,-0.45,0.11,0.30,1720439127176
-4.07,-1.03,5.93,-0.55,0.03,0.37,1720439127179
-3.85,-1.69,7.10,-0.57,-0.08,0.40,1720439127182
-3.38,-1.34,8.38,-0.51,-0.19,0.42,1720439127185
-1.89,0.63,11.52,-0.28,-0.33,0.55,1720439127192
-1.46,0.66,12.08,-0.26,-0.32,0.58,1720439127195
-0.79,0.37,12.69,-0.23,-0.25,0.61,1720439127198
