AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.51,-4.56,1.06,0.71,-0.16,0.22,1720428545005
-0.73,-4.46,1.49,0.46,-0.10,0.20,1720428545008
-0.19,-5.45,1.91,0.12,-0.03,0.20,1720428545011
0.00,-5.49,2.24,-0.13,0.04,0.30,1720428545014
-0.33,-5.16,2.60,-0.37,0.09,0.38,1720428545017
-0.68,-5.32,3.51,-0.64,0.12,0.39,1720428545020
-0.82,-4.47,3.59,-0.96,0.12,0.34,1720428545023
-0.67,-3.21,3.97,-1.07,0.11,0.33,1720428545025
-0.94,-2.69,7.07,-1.15,0.05,0.38,1720428545028
-1.14,-2.58,8.85,-1.23,-0.03,0.40,1720428545031
-1.30,-3.56,11.30,-1.29,-0.15,0.42,1720428545034
-1.02,-4.68,13.34,-1.17,-0.23,0.40,1720428545037
-0.42,-5.63,15.24,-0.88,-0.26,0.40,1720428545040
-0.21,-4.48,17.18,-0.63,-0.26,0.42,1720428545043
-0.11,-2.63,18.39,-0.49,-0.27,0.43,1720428545046
0.20,-1.58,18.73,-0.36,-0.26,0.42,1720428545049
0.51,-2.47,18.68,-0.10,-0.24,0.44,1720428545052
0.66,-3.28,17.87,0.19,-0.19,0.46,1720428545055
0.55,-3.37,16.47,0.51,-0.13,0.45,1720428545057
0.34,-1.59,14.43,0.78,-0.09,0.39,1720428545060
0.43,-1.10,12.21,0.93,-0.07,0.34,1720428545063
0.72,-2.66,7.07,1.15,-0.06,0.31,1720428545066
0.54,-3.06,4.03,1.27,-0.07,0.31,1720428545069
0.63,-2.26,2.60,1.17,-0.09,0.28,1720428545072
1.00,-2.64,1.97,0.92,-0.06,0.24,1720428545075
1.27,-3.86,1.80,0.64,-0.04,0.27,1720428545078
1.35,-5.56,2.38,0.31,-0.02,0.34,1720428545081
1.00,-7.97,3.79,-0.06,-0.00,0.36,1720428545084
0.79,-8.47,3.90,-0.42,-0.00,0.29,1720428545087
0.96,-8.21,4.71,-0.65,-0.01,0.22,1720428545089
1.06,-7.37,6.13,-0.91,-0.05,0.22,1720428545092
0.96,-5.35,7.56,-1.10,-0.11,0.27,1720428545095
1.00,-3.28,10.26,-1.33,-0.21,0.36,1720428545098
1.02,-3.13,12.88,-1.40,-0.28,0.42,1720428545101
1.08,-3.78,14.76,-1.21,-0.30,0.40,1720428545104
1.35,-4.47,16.97,-0.88,-0.27,0.33,1720428545107
1.47,-2.11,18.05,-0.52,-0.22,0.29,1720428545110
1.37,1.38,18.59,-0.17,-0.19,0.28,1720428545113
1.47,3.59,18.56,0.03,-0.18,0.30,1720428545116
1.66,0.10,18.45,0.09,-0.14,0.33,1720428545118
1.26,-2.64,16.76,0.18,-0.07,0.32,1720428545121
0.94,-4.41,14.71,0.53,0.01,0.29,1720428545124
1.05,-5.48,13.83,0.75,0.06,0.27,1720428545127
0.93,-5.00,10.38,0.95,0.09,0.28,1720428545130
0.58,-4.75,7.69,0.94,0.03,0.31,1720428545133
0.61,-3.61,4.82,0.72,-0.10,0.32,1720428545136
0.63,-3.50,4.24,0.54,-0.18,0.29,1720428545139
0.98,-2.71,4.30,0.29,-0.22,0.27,1720428545142
1.15,-1.79,5.62,-0.05,-0.20,0.28,1720428545145
1.19,-1.69,7.24,-0.35,-0.12,0.31,1720428545148
0.98,-1.08,8.76,-0.51,-0.01,0.33,1720428545150
0.56,1.40,9.90,-0.50,0.09,0.32,1720428545153
0.48,3.43,10.76,-0.41,0.12,0.32,1720428545156
0.53,3.33,11.26,-0.36,0.09,0.35,1720428545159
0.47,2.88,11.51,-0.28,0.02,0.43,1720428545162
0.26,1.82,11.50,-0.11,-0.06,0.46,1720428545165
0.25,-0.05,11.06,0.04,-0.12,0.42,1720428545168
0.34,-0.19,10.20,0.20,-0.14,0.39,1720428545171
0.08,1.27,9.42,0.26,-0.17,0.36,1720428545174
-0.02,2.23,8.09,0.25,-0.20,0.35,1720428545177
-0.15,2.36,7.25,0.17,-0.22,0.36,1720428545179
-0.20,2.77,7.00,0.08,-0.22,0.40,1720428545182
-0.02,2.46,7.44,-0.06,-0.20,0.48,1720428545185
0.05,1.82,8.58,-0.25,-0.16,0.60,1720428545188
0.12,1.49,9.62,-0.36,-0.12,0.66,1720428545191
0.07,2.03,10.97,-0.47,-0.05,0.71,1720428545194
-0.00,2.17,12.19,-0.44,0.01,0.68,1720428545197
0.18,2.99,12.79,-0.37,0.03,0.66,1720428545200
0.60,3.46,13.24,-0.26,-0.00,0.70,1720428545203
0.86,3.29,13.08,-0.15,-0.06,0.78,1720428545206
0.89,2.50,12.45,0.04,-0.14,0.87,1720428545209
1.16,1.58,11.26,0.28,-0.21,0.90,1720428545211
1.54,1.16,9.11,0.48,-0.25,0.89,1720428545214
1.89,1.93,7.32,0.60,-0.26,0.89,1720428545217
2.38,5.38,5.31,0.53,-0.29,0.90,1720428545220
2.67,6.71,4.64,0.43,-0.29,0.92,1720428545223
3.27,4.41,4.19,0.17,-0.27,0.96,1720428545226
3.84,0.65,4.92,-0.10,-0.16,1.01,1720428545229
4.08,1.27,4.96,-0.20,0.00,1.03,1720428545232
4.38,2.90,6.48,-0.19,0.15,1.03,1720428545235
4.55,4.43,7.60,-0.30,0.23,1.05,1720428545238
4.45,4.88,8.94,-0.48,0.22,1.03,1720428545241
4.42,3.75,10.25,-0.61,0.16,0.95,1720428545243
4.21,1.92,11.36,-0.62,0.03,0.86,1720428545246
4.21,-0.46,12.66,-0.55,-0.17,0.82,1720428545249
4.46,-0.14,13.76,-0.46,-0.39,0.84,1720428545252
4.55,1.53,14.38,-0.36,-0.51,0.85,1720428545255
4.65,3.61,15.28,-0.18,-0.65,0.83,1720428545258
4.94,5.43,15.78,-0.02,-0.69,0.77,1720428545261
5.35,4.86,16.36,0.11,-0.63,0.70,1720428545264
5.59,3.50,16.06,0.18,-0.48,0.66,1720428545267
5.31,1.92,15.29,0.30,-0.27,0.60,1720428545270
5.01,2.09,13.85,0.41,-0.07,0.52,1720428545272
5.04,3.80,11.90,0.47,0.07,0.45,1720428545275
4.82,5.50,9.31,0.51,0.12,0.43,1720428545278
4.62,5.08,6.91,0.46,0.07,0.42,1720428545281
4.34,3.01,5.17,0.39,-0.00,0.38,1720428545284
4.18,1.98,4.65,0.32,-0.05,0.31,1720428545287
4.26,2.14,4.42,0.21,-0.10,0.20,1720428545290
4.30,2.50,5.37,0.03,-0.12,0.11,1720428545293
4.13,2.95,6.89,-0.23,-0.11,0.04,1720428545296
3.83,3.15,8.63,-0.40,-0.05,-0.02,1720428545299
3.28,3.82,9.95,-0.42,0.03,-0.12,1720428545302
2.57,4.29,10.64,-0.31,0.09,-0.24,1720428545304
1.87,4.69,11.20,-0.21,0.10,-0.35,1720428545307
1.58,4.10,11.77,-0.15,0.09,-0.40,1720428545310
1.18,2.98,12.05,-0.14,0.10,-0.42,1720428545313
0.41,2.97,11.70,-0.08,0.11,-0.42,1720428545316
-0.28,2.02,11.46,0.04,0.10,-0.44,1720428545319
-0.85,2.62,10.56,0.15,0.08,-0.46,1720428545322
-1.35,3.69,9.84,0.26,0.06,-0.47,1720428545325
-2.03,4.71,8.79,0.34,-0.03,-0.45,1720428545328
-2.30,3.45,7.62,0.29,-0.15,-0.40,1720428545331
-2.64,1.43,6.36,0.24,-0.25,-0.33,1720428545334
-2.93,2.09,5.03,0.34,-0.31,-0.29,1720428545337
-3.09,4.09,4.88,0.39,-0.35,-0.26,1720428545339
-3.17,5.87,4.75,0.23,-0.38,-0.20,1720428545342
-2.99,4.60,5.58,-0.09,-0.39,-0.11,1720428545345
-2.86,1.35,6.48,-0.35,-0.32,0.01,1720428545348
-2.83,0.21,7.36,-0.42,-0.18,0.10,1720428545351
-2.99,1.79,8.60,-0.36,-0.05,0.18,1720428545354
-3.02,2.20,9.28,-0.35,-0.00,0.22,1720428545357
-2.60,1.44,9.84,-0.40,0.02,0.32,1720428545360
-2.05,-0.72,10.23,-0.39,0.02,0.48,1720428545363
-1.89,-2.44,10.25,-0.30,-0.01,0.59,1720428545366
-1.53,-2.77,10.23,-0.19,-0.06,0.63,1720428545369
-0.89,-2.15,10.37,-0.09,-0.14,0.66,1720428545371
0.00,-1.82,10.65,-0.06,-0.22,0.70,1720428545374
0.89,-2.26,10.70,-0.05,-0.26,0.78,1720428545377
1.68,-3.06,10.63,-0.03,-0.24,0.84,1720428545380
2.54,-3.46,10.51,0.01,-0.16,0.88,1720428545383
3.36,-3.28,10.35,0.04,-0.06,0.90,1720428545386
3.86,-2.81,10.31,0.04,0.01,0.91,1720428545389
4.37,-1.85,10.39,0.02,0.10,0.90,1720428545392
4.76,-1.54,10.71,-0.07,0.15,0.85,1720428545395
5.20,-2.19,11.20,-0.17,0.18,0.76,1720428545398
5.64,-2.63,11.51,-0.20,0.18,0.67,1720428545401
5.54,-1.13,11.79,-0.17,0.12,0.60,1720428545403
5.30,1.39,11.75,-0.08,-0.03,0.52,1720428545406
5.52,1.95,12.14,0.03,-0.22,0.43,1720428545409
5.85,0.43,12.53,0.08,-0.35,0.33,1720428545412
6.16,-0.91,11.54,0.19,-0.36,0.23,1720428545415
6.55,-2.02,10.29,0.39,-0.25,0.14,1720428545418
6.56,-2.48,9.46,0.47,-0.13,0.08,1720428545421
6.40,-2.90,8.27,0.46,0.04,0.01,1720428545424
6.15,-1.80,6.46,0.35,0.20,-0.07,1720428545427
5.83,-0.97,5.09,0.23,0.30,-0.13,1720428545430
5.44,-1.82,4.47,0.07,0.33,-0.20,1720428545433
4.98,-3.06,4.22,-0.11,0.32,-0.28,1720428545435
4.68,-3.41,3.81,-0.17,0.29,-0.38,1720428545438
4.18,-3.56,3.94,-0.10,0.25,-0.46,1720428545441
3.62,-3.17,4.95,-0.04,0.20,-0.55,1720428545444
2.94,-2.06,6.44,-0.17,0.14,-0.63,1720428545447
2.57,-2.72,7.90,-0.37,0.10,-0.70,1720428545450
2.33,-4.30,8.97,-0.47,0.11,-0.72,1720428545453
1.83,-3.93,9.07,-0.49,0.15,-0.74,1720428545456
1.20,-2.13,10.23,-0.27,0.21,-0.74,1720428545459
0.50,-0.90,11.12,-0.21,0.22,-0.74,1720428545462
0.36,-2.08,11.94,-0.29,0.23,-0.73,1720428545464
0.07,-5.35,12.31,-0.35,0.29,-0.70,1720428545467
-0.70,-7.56,11.67,-0.28,0.37,-0.70,1720428545470
-1.23,-8.33,11.49,-0.09,0.42,-0.70,1720428545473
-1.67,-7.09,11.50,0.08,0.42,-0.68,1720428545476
-1.71,-5.14,11.76,0.10,0.39,-0.62,1720428545479
-1.46,-5.33,12.14,-0.02,0.37,-0.52,1720428545482
-1.56,-5.66,11.98,-0.10,0.37,-0.44,1720428545485
-2.08,-6.10,11.83,-0.11,0.37,-0.36,1720428545488
-2.33,-5.21,12.25,-0.09,0.37,-0.35,1720428545491
-1.92,-4.67,13.18,-0.09,0.37,-0.35,1720428545494
-1.64,-3.59,13.96,-0.22,0.37,-0.30,1720428545496
-1.74,-1.97,14.31,-0.29,0.38,-0.24,1720428545499
-1.97,-1.00,14.53,-0.23,0.37,-0.23,1720428545502
-1.84,-2.88,14.91,-0.15,0.36,-0.23,1720428545505
-1.77,-4.09,14.25,0.00,0.34,-0.21,1720428545508
-2.04,-4.57,13.26,0.29,0.32,-0.18,1720428545511
-2.16,-2.03,11.44,0.65,0.28,-0.16,1720428545514
-2.04,-0.93,10.05,0.86,0.23,-0.13,1720428545517
-1.81,-0.63,6.53,0.97,0.14,-0.08,1720428545520
-1.43,-1.57,3.64,0.99,0.07,-0.02,1720428545523
-0.62,-2.50,2.57,0.90,0.05,0.02,1720428545526
0.00,-2.04,1.86,0.81,0.12,0.05,1720428545528
0.10,-1.47,2.09,0.59,0.24,0.05,1720428545531
-0.14,-2.30,2.98,0.21,0.35,-0.04,1720428545534
-0.31,-4.02,2.81,-0.17,0.43,-0.17,1720428545537
-0.51,-6.94,3.44,-0.45,0.47,-0.30,1720428545540
-0.76,-8.48,4.14,-0.73,0.43,-0.38,1720428545543
-1.16,-8.10,5.72,-0.92,0.33,-0.39,1720428545546
-1.48,-6.74,6.91,-1.03,0.22,-0.37,1720428545549
-2.06,-4.31,9.24,-1.11,0.06,-0.34,1720428545552
-2.27,-5.35,12.41,-1.18,-0.07,-0.38,1720428545555
-2.01,-7.14,14.93,-1.23,-0.07,-0.46,1720428545557
-2.09,-6.94,16.09,-1.05,0.03,-0.54,1720428545560
-2.25,-5.70,17.54,-0.67,0.18,-0.57,1720428545563
-2.55,-2.90,18.54,-0.40,0.33,-0.58,1720428545566
-2.94,-1.35,19.18,-0.31,0.44,-0.62,1720428545569
-3.42,-1.85,18.82,-0.30,0.51,-0.67,1720428545572
-4.05,-2.98,17.76,-0.09,0.56,-0.71,1720428545575
-4.49,-4.38,17.01,0.22,0.55,-0.73,1720428545578
-4.60,-4.05,16.49,0.38,0.51,-0.72,1720428545581
